linked_entity_id,tech_id,process_id,geographic_scope,temporal_scope,capacity_scope,system_boundary,balancing_inputs,balancing_outputs,sources_json,values_json,date_created
LE_00001,TECH_00001,PROC_00002,ECA,2050,,Plant ready to operate,"[{""carrier_id"": ""CAR_00003"", ""share"": 1.0, ""unit"": ""kWh""}]","[{""carrier_id"": ""CAR_00002"", ""share"": 0.58, ""unit"": ""kWh""}]","[{""source_id"": ""SRC_00006"", ""linked_attribute_ids"": ["""", ""ATTR_00006"", ""ATTR_00010"", ""ATTR_00011"", ""ATTR_00003""]}, {""source_id"": ""SRC_00002"", ""linked_attribute_ids"": ["""", """"]}, {""source_id"": ""SRC_00003"", ""linked_attribute_ids"": [""ATTR_00005""]}]","[{""attribute_id"": ""ATTR_00013"", ""attribute_name"": ""trl"", ""value"": 9, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00002"", ""attribute_name"": ""tech_maturity"", ""value"": ""Mature"", ""time_index"": 2050}, {""attribute_id"": ""ATTR_00003"", ""attribute_name"": ""technical_efficiency"", ""value"": ""0.58"", ""time_index"": 2050}, {""attribute_id"": ""ATTR_00004"", ""attribute_name"": ""theoretical_efficiency"", ""value"": ""na"", ""time_index"": 2050}, {""attribute_id"": ""ATTR_00005"", ""attribute_name"": ""operating_temperature_c"", ""value"": 0, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00006"", ""attribute_name"": ""lifetime_yr"", ""value"": 35, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00007"", ""attribute_name"": ""capex_one_time"", ""value"": 0, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00008"", ""attribute_name"": ""opex_one_time"", ""value"": 0, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00009"", ""attribute_name"": ""opex_fix_pct_of_capex"", ""value"": 2.92, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00010"", ""attribute_name"": ""opex_per_capacity_yr"", ""value"": 35, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00011"", ""attribute_name"": ""opex_per_energy"", ""value"": 0.002, ""time_index"": 2050}]",2026-06-23
LE_00002,TECH_00002,PROC_00002,ECA,2050,,Plant ready to operate,"[{""carrier_id"": ""CAR_00003"", ""share"": 1.0, ""unit"": ""kWh""}]","[{""carrier_id"": ""CAR_00002"", ""share"": 0.4, ""unit"": ""kWh""}]","[{""source_id"": ""SRC_00006"", ""linked_attribute_ids"": ["""", ""ATTR_00006"", ""ATTR_00010"", ""ATTR_00011"", ""ATTR_00003""]}, {""source_id"": ""SRC_00002"", ""linked_attribute_ids"": ["""", """"]}, {""source_id"": ""SRC_00003"", ""linked_attribute_ids"": [""ATTR_00005""]}]","[{""attribute_id"": ""ATTR_00013"", ""attribute_name"": ""trl"", ""value"": 9, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00002"", ""attribute_name"": ""tech_maturity"", ""value"": ""Mature"", ""time_index"": 2050}, {""attribute_id"": ""ATTR_00003"", ""attribute_name"": ""technical_efficiency"", ""value"": ""0.4"", ""time_index"": 2050}, {""attribute_id"": ""ATTR_00004"", ""attribute_name"": ""theoretical_efficiency"", ""value"": ""na"", ""time_index"": 2050}, {""attribute_id"": ""ATTR_00005"", ""attribute_name"": ""operating_temperature_c"", ""value"": 0, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00006"", ""attribute_name"": ""lifetime_yr"", ""value"": 30, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00007"", ""attribute_name"": ""capex_one_time"", ""value"": 0, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00008"", ""attribute_name"": ""opex_one_time"", ""value"": 0, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00009"", ""attribute_name"": ""opex_fix_pct_of_capex"", ""value"": 2.67, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00010"", ""attribute_name"": ""opex_per_capacity_yr"", ""value"": 20, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00011"", ""attribute_name"": ""opex_per_energy"", ""value"": 0.002, ""time_index"": 2050}]",2026-06-23
LE_00003,TECH_00003,PROC_00002,ECA,2050,400000,Plant ready to operate,"[{""carrier_id"": ""CAR_00003"", ""share"": 1.0, ""unit"": ""kWh""}]","[{""carrier_id"": ""CAR_00002"", ""share"": 0.61, ""unit"": ""kWh""}]","[{""source_id"": ""SRC_00004"", ""linked_attribute_ids"": [""ATTR_00003""]}, {""source_id"": ""SRC_00005"", ""linked_attribute_ids"": ["""", ""ATTR_00010"", ""ATTR_00011""]}, {""source_id"": ""SRC_00006"", ""linked_attribute_ids"": [""ATTR_00006"", ""ATTR_00003""]}]","[{""attribute_id"": ""ATTR_00013"", ""attribute_name"": ""trl"", ""value"": 9, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00002"", ""attribute_name"": ""tech_maturity"", ""value"": ""Mature"", ""time_index"": 2050}, {""attribute_id"": ""ATTR_00003"", ""attribute_name"": ""technical_efficiency"", ""value"": ""0.64"", ""time_index"": 2050}, {""attribute_id"": ""ATTR_00004"", ""attribute_name"": ""theoretical_efficiency"", ""value"": ""na"", ""time_index"": 2050}, {""attribute_id"": ""ATTR_00005"", ""attribute_name"": ""operating_temperature_c"", ""value"": 1500, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00012"", ""attribute_name"": ""min_installation_size"", ""value"": 400000, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00006"", ""attribute_name"": ""lifetime_yr"", ""value"": 23, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00007"", ""attribute_name"": ""capex_one_time"", ""value"": 0, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00008"", ""attribute_name"": ""opex_one_time"", ""value"": 0, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00009"", ""attribute_name"": ""opex_fix_pct_of_capex"", ""value"": 2.36, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00010"", ""attribute_name"": ""opex_per_capacity_yr"", ""value"": 21, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00011"", ""attribute_name"": ""opex_per_energy"", ""value"": 0.002, ""time_index"": 2050}, {""attribute_id"": ""ATTR_00013"", ""attribute_name"": ""uncertainty_rating"", ""value"": ""Low"", ""time_index"": 2050}]",2026-06-23
