unmapped_index,technology_name,linked_entity_id,tech_id,process_id,geographic_scope,temporal_scope,capacity_scope,system_boundary,source_ids,date_mapped
62,H2_RWGS_CO,LE_00063,TECH_00038,PROC_00029,ECA,2030,,Plant ready to operate,"[""SRC_00018"", ""SRC_00019"", ""SRC_00002"", ""SRC_00020"", ""SRC_00007""]",2026-06-23
63,El_Electrolysis_H2,LE_00064,TECH_00039,PROC_00030,ECA,2030,,Plant ready to operate,"[""SRC_00003"", ""SRC_00007""]",2026-06-23
64,El_Electrolysis_H2,LE_00065,TECH_00039,PROC_00030,ECA,2040,,Plant ready to operate,"[""SRC_00003"", ""SRC_00007""]",2026-06-23
65,El_Electrolysis_H2,LE_00066,TECH_00039,PROC_00030,ECA,2050,,Plant ready to operate,"[""SRC_00003"", ""SRC_00007""]",2026-06-23
66,Syngas_FT_C12,LE_00067,TECH_00040,PROC_00031,ECA,2025,,Plant ready to operate,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-23
67,Syngas_FT_C12,LE_00068,TECH_00040,PROC_00031,ECA,2030,,Plant ready to operate,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-23
68,Syngas_FT_C12,LE_00069,TECH_00040,PROC_00031,ECA,2040,,Plant ready to operate,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-23
69,Syngas_FT_C12,LE_00070,TECH_00040,PROC_00031,ECA,2050,,Plant ready to operate,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-23
70,Syngas_FT_C8,LE_00071,TECH_00041,PROC_00031,ECA,2025,,Plant ready to operate,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-23
71,Syngas_FT_C8,LE_00072,TECH_00041,PROC_00031,ECA,2030,,Plant ready to operate,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-23
72,Syngas_FT_C8,LE_00073,TECH_00041,PROC_00031,ECA,2040,,Plant ready to operate,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-23
73,Syngas_FT_C8,LE_00074,TECH_00041,PROC_00031,ECA,2050,,Plant ready to operate,"[""SRC_00021"", ""SRC_00016"", ""SRC_00002"", ""SRC_00003"", ""SRC_00005""]",2026-06-23
74,Syngas_COHydro_CH4,LE_00075,TECH_00042,PROC_00026,ECA,2025,,Plant ready to operate,"[""SRC_00016"", ""SRC_00002""]",2026-06-23
75,Syngas_COHydro_CH4,LE_00076,TECH_00042,PROC_00026,ECA,2030,,Plant ready to operate,"[""SRC_00016"", ""SRC_00002""]",2026-06-23
76,Syngas_COHydro_CH4,LE_00077,TECH_00042,PROC_00026,ECA,2040,,Plant ready to operate,"[""SRC_00016"", ""SRC_00002""]",2026-06-23
77,Syngas_COHydro_CH4,LE_00078,TECH_00042,PROC_00026,ECA,2050,,Plant ready to operate,"[""SRC_00016"", ""SRC_00002""]",2026-06-23
